Network Type,Network Size,Epsilon,Average Cascade Size,Synchronization Level
Erdos-Renyi,500,0.01,1.024,0.03914198937784071
Scale-Free,500,0.01,1.05,0.03577356890494689
Small-World,500,0.01,1.047,0.01870352909100828
Erdos-Renyi,500,0.05,1.152,0.06778356204217861
Scale-Free,500,0.05,1.411,0.0067975260523151565
Small-World,500,0.05,1.293,0.020304902996872626
Erdos-Renyi,500,0.1,1.309,0.05332260030034023
Scale-Free,500,0.1,2.0656565656565657,0.04609692279374487
Small-World,500,0.1,1.6326326326326326,0.10309146546215167
Erdos-Renyi,1000,0.01,1.048,0.019365841352579512
Scale-Free,1000,0.01,1.045,0.028659805900669435
Small-World,1000,0.01,1.053,0.04099703691648383
Erdos-Renyi,1000,0.05,1.271,0.026785298260795235
Scale-Free,1000,0.05,1.545,0.031499509364280816
Small-World,1000,0.05,1.327,0.030274703064382086
Erdos-Renyi,1000,0.1,1.436,0.05146352548119748
Scale-Free,1000,0.1,2.1651186790505674,0.02007555631139112
Small-World,1000,0.1,1.691,0.14088074718617521
Erdos-Renyi,1500,0.01,1.095,0.03692221709780966
Scale-Free,1500,0.01,1.054,0.003490287024947573
Small-World,1500,0.01,1.055,0.011312126224979086
Erdos-Renyi,1500,0.05,1.329,0.019694199663992332
Scale-Free,1500,0.05,1.55,0.024038649828725278
Small-World,1500,0.05,1.314,0.021276504274097278
Erdos-Renyi,1500,0.1,1.475,0.11518472720332897
Scale-Free,1500,0.1,2.2360248447204967,0.03401240557130889
Small-World,1500,0.1,1.511,0.08743508885986494
